Date,AvgReturn-dunn-capital-management--wma-program,AvgReturn-eckhardt-trading-company--evolution-strategy,AvgReturn-mak-capital--one-fund,AvgReturn-tim--trend-2,AvgReturn-winton-capital--futures-program,RankLabel-AvgReturn-dunn-capital-management--wma-program,Rank-AvgReturn-dunn-capital-management--wma-program,RankN-AvgReturn-dunn-capital-management--wma-program,RankLabel-AvgReturn-eckhardt-trading-company--evolution-strategy,Rank-AvgReturn-eckhardt-trading-company--evolution-strategy,RankN-AvgReturn-eckhardt-trading-company--evolution-strategy,RankLabel-AvgReturn-mak-capital--one-fund,Rank-AvgReturn-mak-capital--one-fund,RankN-AvgReturn-mak-capital--one-fund,RankLabel-AvgReturn-tim--trend-2,Rank-AvgReturn-tim--trend-2,RankN-AvgReturn-tim--trend-2,RankLabel-AvgReturn-winton-capital--futures-program,Rank-AvgReturn-winton-capital--futures-program,RankN-AvgReturn-winton-capital--futures-program
1984-11-30,-0.1095,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1984-12-31,0.035300000000000005,,,,,4thQ,3,"(0.0181, 0.0583]",,,,,,,,,,,,
1985-01-31,0.044300000000000006,,,,,4thQ,3,"(0.0181, 0.0583]",,,,,,,,,,,,
1985-02-28,0.058300000000000005,,,,,4thQ,3,"(0.0181, 0.0583]",,,,,,,,,,,,
1985-03-31,0.03214,,,,,4thQ,3,"(0.0181, 0.0583]",,,,,,,,,,,,
1985-04-30,0.004966666666666675,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1985-05-31,0.0352,,,,,4thQ,3,"(0.0181, 0.0583]",,,,,,,,,,,,
1985-06-30,0.022312500000000006,,,,,4thQ,3,"(0.0181, 0.0583]",,,,,,,,,,,,
1985-07-31,0.010544444444444448,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1985-08-31,-0.003989999999999996,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1985-09-30,-0.03151818181818182,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1985-10-31,-0.023316666666666663,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1985-11-30,-0.011053846153846148,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1985-12-31,-0.003107142857142853,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1986-01-31,-0.003899999999999996,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1986-02-28,0.011687500000000003,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1986-03-31,0.018017647058823534,,,,,3rdQ,2,"(0.0164, 0.0181]",,,,,,,,,,,,
1986-04-30,0.013911111111111115,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
