Date,abraham-trading-company--diversified-program
1/31/1988,0.0417
2/29/1988,-0.0259
3/31/1988,-0.0878
4/30/1988,-0.1235
5/31/1988,0.3234
6/30/1988,0.7199
7/31/1988,-0.0282
8/31/1988,0.0345
9/30/1988,-0.0198
10/31/1988,0.0801
11/30/1988,0.1783
12/31/1988,0.0451
1/31/1989,-0.0805
2/28/1989,-0.1264
3/31/1989,0.1391
4/30/1989,-0.2008
5/31/1989,0.3865
6/30/1989,-0.044
7/31/1989,0.1608
8/31/1989,-0.1384
9/30/1989,-0.0775
10/31/1989,-0.144
11/30/1989,0.103
12/31/1989,0.3952
1/31/1990,0.0365
2/28/1990,0.0181
3/31/1990,0.0945
4/30/1990,0.129
5/31/1990,-0.079
6/30/1990,0.0249
7/31/1990,0.2008
8/31/1990,0.1854
9/30/1990,0.0857
10/31/1990,-0.0036
11/30/1990,0.0031
12/31/1990,-0.0009
1/31/1991,-0.1594
2/28/1991,0.013
3/31/1991,0.0243
4/30/1991,-0.137
5/31/1991,0.0294
6/30/1991,0.0211
7/31/1991,-0.0152
8/31/1991,-0.0633
9/30/1991,0.1161
10/31/1991,0.1661
11/30/1991,-0.0209
12/31/1991,0.3375
1/31/1992,-0.126
2/29/1992,-0.06
3/31/1992,-0.0547
4/30/1992,0.0031
5/31/1992,-0.0571
6/30/1992,0.0658
7/31/1992,0.1652
8/31/1992,0.0192
9/30/1992,-0.0034
10/31/1992,-0.0331
11/30/1992,0.0465
12/31/1992,-0.0454
1/31/1993,-0.0421
2/28/1993,0.061
3/31/1993,0.0457
4/30/1993,0.0924
5/31/1993,0.0488
6/30/1993,-0.0122
7/31/1993,0.066
8/31/1993,-0.0528
9/30/1993,0.0116
10/31/1993,-0.0659
11/30/1993,0.0371
12/31/1993,0.1283
1/31/1994,-0.0145
2/28/1994,-0.0416
3/31/1994,0.0287
4/30/1994,-0.0839
5/31/1994,0.1501
6/30/1994,0.0147
7/31/1994,0.0098
8/31/1994,-0.0738
9/30/1994,0.0505
10/31/1994,0.0543
11/30/1994,0.1424
12/31/1994,0.0106
1/31/1995,-0.0791
2/28/1995,0.0124
3/31/1995,0.0663
4/30/1995,0.0473
5/31/1995,0.0822
6/30/1995,0.0011
7/31/1995,-0.0875
8/31/1995,-0.0534
