Date,antonacci--dmfi
1/31/1970,0.006783
2/28/1970,0.006124
3/31/1970,0.008749
4/30/1970,-0.007592
5/31/1970,0.0085255
6/30/1970,0.005926
7/31/1970,0.0103475
8/31/1970,0.008554
9/30/1970,0.0124775
10/31/1970,0.002131
11/30/1970,0.0374435
12/31/1970,0.005412
1/31/1971,0.05
2/28/1971,0.0255
3/31/1971,0.0048
4/30/1971,-0.0121
5/31/1971,-0.0168
6/30/1971,-0.0003985
7/31/1971,0.004613
8/31/1971,0.004329
9/30/1971,0.0121385
10/31/1971,0.0334
11/30/1971,-0.0388
12/31/1971,0.010986
1/31/1972,0.010551
2/29/1972,0.001415
3/31/1972,-0.004869
4/30/1972,0.001411
5/31/1972,0.0023605
6/30/1972,-0.0144
7/31/1972,0.003454
8/31/1972,-0.0013445
9/30/1972,0.00396
10/31/1972,0.00402
11/30/1972,0.004072
12/31/1972,0.004456
1/31/1973,-0.00063
2/28/1973,-0.00754
3/31/1973,0.0074495
4/30/1973,-0.0043
5/31/1973,0.005432
6/30/1973,0.0027655
7/31/1973,0.006861
8/31/1973,0.007434
9/30/1973,0.007095
10/31/1973,0.006038
11/30/1973,-0.0601
12/31/1973,0.005195
1/31/1974,0.0197
2/28/1974,0.0122
3/31/1974,-0.0508
4/30/1974,0.007147
5/31/1974,-0.048624
6/30/1974,0.006765
7/31/1974,0.006462
8/31/1974,0.007687
9/30/1974,0.006904
10/31/1974,0.010931
11/30/1974,0.007646
12/31/1974,0.018456
1/31/1975,0.032006
2/28/1975,0.0571
3/31/1975,-0.0104
4/30/1975,0.0135
5/31/1975,0.0251
6/30/1975,0.0169
7/31/1975,-0.0056
8/31/1975,-0.0078
9/30/1975,-5.8E-05
10/31/1975,0.02086
11/30/1975,-0.00098
12/31/1975,0.019804
1/31/1976,0.005661
2/29/1976,0.0177
3/31/1976,0.0013
4/30/1976,0.0095
5/31/1976,-0.0198
6/30/1976,0.0147695
7/31/1976,0.0125
8/31/1976,0.0166895
9/30/1976,0.011377
10/31/1976,0.0125
11/30/1976,0.0114
12/31/1976,0.002617
1/31/1977,-0.0093
2/28/1977,0.0115
3/31/1977,0.0086
4/30/1977,0.009633
5/31/1977,0.0066
6/30/1977,0.0297
7/31/1977,0.0053
8/31/1977,0.001
9/30/1977,-0.0005
10/31/1977,0.0018425
11/30/1977,0.0078795
12/31/1977,0.005173
1/31/1978,0.00551
2/28/1978,0.005518
3/31/1978,0.005397
4/30/1978,0.005389
5/31/1978,-0.014654
6/30/1978,0.005734
7/31/1978,0.006046
8/31/1978,0.00602
9/30/1978,0.0023065
10/31/1978,-0.0100675
11/30/1978,0.007539
12/31/1978,0.007826
1/31/1979,0.008027
2/28/1979,0.007948
3/31/1979,0.008123
4/30/1979,0.0078745
5/31/1979,0.008227
6/30/1979,0.014042
7/31/1979,-0.00112
8/31/1979,-0.00908
9/30/1979,0.008752
10/31/1979,0.009883
11/30/1979,0.010235
12/31/1979,0.010411
1/31/1980,0.010384
2/29/1980,-0.0357185
3/31/1980,0.013476
4/30/1980,0.012116
5/31/1980,0.0284365
6/30/1980,-0.00768
7/31/1980,-0.01136
8/31/1980,-0.036015
9/30/1980,-0.001863
10/31/1980,0.00998
11/30/1980,0.012018
12/31/1980,0.013592
1/31/1981,0.013022
2/28/1981,0.012817
3/31/1981,0.011549
4/30/1981,0.011841
5/31/1981,0.014163
6/30/1981,0.012764
7/31/1981,0.012959
8/31/1981,0.013458
9/30/1981,0.012737
10/31/1981,0.011708
11/30/1981,0.0358645
12/31/1981,-0.01416
1/31/1982,0.004975
2/28/1982,0.014839
3/31/1982,0.007503
4/30/1982,0.024086
5/31/1982,0.0163405
6/30/1982,-0.01125
7/31/1982,0.0388
8/31/1982,0.0869
9/30/1982,0.0342
10/31/1982,0.0447
11/30/1982,0.0313
