Date,balyasny--atlas-enhanced-class-u
1/31/2006,0.082
2/28/2006,0.0427
3/31/2006,0.0711
4/30/2006,0.0435
5/31/2006,-0.0162
6/30/2006,0.009
7/31/2006,0.0108
8/31/2006,0.0077
9/30/2006,0.0028
10/31/2006,0.0374
11/30/2006,0.0259
12/31/2006,0.0451
1/31/2007,0.042
2/28/2007,0.0099
3/31/2007,0.0123
4/30/2007,0.0102
5/31/2007,0.0192
6/30/2007,0.0178
7/31/2007,0.027
8/31/2007,0.0321
9/30/2007,0.0334
10/31/2007,0.1008
11/30/2007,0.0455
12/31/2007,0.0243
1/31/2008,-0.0482
2/29/2008,0.0556
3/31/2008,-0.01
4/30/2008,0.0149
5/31/2008,0.031
6/30/2008,0.0166
7/31/2008,0.0127
8/31/2008,-0.0062
9/30/2008,-0.0317
10/31/2008,-0.0123
11/30/2008,-0.0074
12/31/2008,-0.0143
1/31/2009,0.0247
2/28/2009,0.0093
3/31/2009,0.0006
4/30/2009,0.0116
5/31/2009,0.0092
6/30/2009,-0.0133
7/31/2009,0.0168
8/31/2009,0.0123
9/30/2009,0.0121
10/31/2009,0.0077
11/30/2009,-0.0009
12/31/2009,0.0153
1/31/2010,0.0204
2/28/2010,-0.0249
3/31/2010,0.027
4/30/2010,0.0597
5/31/2010,-0.0074
6/30/2010,-0.025
7/31/2010,0.0286
8/31/2010,-0.009
9/30/2010,0.0602
10/31/2010,0.0179
11/30/2010,0.0116
12/31/2010,0.0565
1/31/2011,0.0432
2/28/2011,0.0088
3/31/2011,0.0189
4/30/2011,0.0126
5/31/2011,0.0069
6/30/2011,-0.0048
7/31/2011,0.0279
8/31/2011,-0.0316
9/30/2011,-0.0398
10/31/2011,-0.0154
11/30/2011,-0.0335
12/31/2011,0.0073
1/31/2012,0.0377
2/29/2012,-0.0434
3/31/2012,-0.0036
4/30/2012,-0.0181
5/31/2012,0.0061
6/30/2012,0.019
7/31/2012,0.048
8/31/2012,0.0127
9/30/2012,0.0125
10/31/2012,0.0123
11/30/2012,-0.0017
12/31/2012,0.0415
1/31/2013,0.0118
2/28/2013,-0.05
3/31/2013,0.0328
4/30/2013,0.0163
5/31/2013,0.0142
6/30/2013,0.0073
7/31/2013,0.0172
8/31/2013,0.0102
9/30/2013,0.0464
10/31/2013,0.0361
11/30/2013,0.0279
12/31/2013,0.0239
1/31/2014,0.0186
2/28/2014,0.0441
3/31/2014,-0.0036
4/30/2014,-0.0297
5/31/2014,0.0222
6/30/2014,0.0165
7/31/2014,0.0024
8/31/2014,0.0091
9/30/2014,0.0534
10/31/2014,-0.0344
11/30/2014,0.0142
12/31/2014,0.0201
1/31/2015,-0.0161
2/28/2015,0.0119
3/31/2015,0.009
4/30/2015,0.0208
5/31/2015,0.024
6/30/2015,0.0055
7/31/2015,0.006
8/31/2015,0.0006
9/30/2015,-0.0121
10/31/2015,-0.004
11/30/2015,0.0049
12/31/2015,0.009
1/31/2016,-0.0052
2/29/2016,0.0313
3/31/2016,-0.0128
4/30/2016,0.0067
5/31/2016,0.0059
6/30/2016,-0.0033
7/31/2016,0.0066
8/31/2016,0.0222
9/30/2016,0.0137
10/31/2016,-0.004
11/30/2016,-0.0115
12/31/2016,0.0082
1/31/2017,0.0225
2/28/2017,-0.004
3/31/2017,0.0068
4/30/2017,-0.0094
5/31/2017,0.0053
6/30/2017,-0.0131
7/31/2017,-0.0011
8/31/2017,0.0267
9/30/2017,0.0043
10/31/2017,0.0087
11/30/2017,-0.01
12/31/2017,0.0284
1/31/2018,0.0071
2/28/2018,-0.0262
3/31/2018,-0.007
4/30/2018,0.0043
5/31/2018,-0.0074
6/30/2018,0.0063
7/31/2018,0.0152
8/31/2018,0.0006
9/30/2018,0.0146
10/31/2018,-0.0302
11/30/2018,-0.0564
12/31/2018,0.0082
1/31/2019,0.0345
2/28/2019,0.0008
3/31/2019,0.0068
4/30/2019,0.0365
5/31/2019,-0.002
6/30/2019,-0.0003
7/31/2019,0.0226
8/31/2019,0.0024
9/30/2019,-0.0138
10/31/2019,-0.0043
11/30/2019,0.0054
12/31/2019,0.0219
1/31/2020,-0.0004
2/29/2020,0.0115
3/31/2020,0.0359
4/30/2020,0.0317
5/31/2020,0.0382
6/30/2020,0.0237
7/31/2020,0.0449
8/31/2020,0.0253
9/30/2020,-0.001
10/31/2020,0.017
11/30/2020,0.037
12/31/2020,0.0292
1/31/2021,-0.0049
2/28/2021,0.0272
3/31/2021,-0.0068
4/30/2021,0.0093
5/31/2021,-0.0026
6/30/2021,-0.0015
7/31/2021,-0.0024
8/31/2021,0.0075
