Date,capula--grv-fund
10/31/2005,0.0106
11/30/2005,0.0101
12/31/2005,0.0204
1/31/2006,0.0155
2/28/2006,0.0203
3/31/2006,0.0377
4/30/2006,0.0084
5/31/2006,0.014
6/30/2006,0.0149
7/31/2006,0.0044
8/31/2006,-0.0059
9/30/2006,0.0104
10/31/2006,0.0172
11/30/2006,0.0095
12/31/2006,0.0163
1/31/2007,-0.0042
2/28/2007,0.0118
3/31/2007,0.0147
4/30/2007,0.0205
5/31/2007,0.0176
6/30/2007,0.0003
7/31/2007,-0.0116
8/31/2007,0.0372
9/30/2007,0.0188
10/31/2007,0.0067
11/30/2007,0.0107
12/31/2007,0.0456
1/31/2008,0.0225
2/29/2008,0.0484
3/31/2008,-0.0741
4/30/2008,0.0115
5/31/2008,0.0148
6/30/2008,0.0252
7/31/2008,0.014
8/31/2008,0.011
9/30/2008,-0.0087
10/31/2008,-0.0158
11/30/2008,0.0321
12/31/2008,0.0151
1/31/2009,0.0114
2/28/2009,0.024
3/31/2009,0.0064
4/30/2009,0.0072
5/31/2009,0.0087
6/30/2009,0.0096
7/31/2009,0.0125
8/31/2009,0.0161
9/30/2009,0.0029
10/31/2009,0.0088
11/30/2009,0.005
12/31/2009,0.0037
1/31/2010,0.0103
2/28/2010,0.0089
3/31/2010,0.0022
4/30/2010,0.0096
5/31/2010,0.0136
6/30/2010,0.0211
7/31/2010,-0.0009
8/31/2010,0.0158
9/30/2010,0.0033
10/31/2010,-0.002
11/30/2010,0.0091
12/31/2010,0.0011
1/31/2011,0.0004
2/28/2011,0.0069
3/31/2011,0.0015
4/30/2011,-0.0008
5/31/2011,0.0031
6/30/2011,0.0051
7/31/2011,0.004
8/31/2011,0.0069
9/30/2011,0.0234
10/31/2011,-0.0016
11/30/2011,0.0135
12/31/2011,-0.0019
1/31/2012,-0.008
2/29/2012,-0.0044
3/31/2012,0.0007
4/30/2012,0.0018
5/31/2012,0.008
6/30/2012,-0.0057
7/31/2012,0.0044
8/31/2012,0.0043
9/30/2012,0
10/31/2012,-0.0024
11/30/2012,0.0051
12/31/2012,0.0004
1/31/2013,0.0047
2/28/2013,0.0121
3/31/2013,0.0092
4/30/2013,-0.0006
5/31/2013,0.0128
6/30/2013,-0.007
7/31/2013,0.0117
8/31/2013,0.0122
9/30/2013,0.0113
10/31/2013,0.0018
11/30/2013,0.0024
12/31/2013,0.0031
1/31/2014,0.0109
2/28/2014,0.0022
3/31/2014,0.0032
4/30/2014,0.0061
5/31/2014,0.0058
6/30/2014,0.006
7/31/2014,0.0041
8/31/2014,0.0043
9/30/2014,0.0087
10/31/2014,0.0028
11/30/2014,0.0133
12/31/2014,0.0113
1/31/2015,0.0181
2/28/2015,0.0066
3/31/2015,0.0091
4/30/2015,-0.001
5/31/2015,0.007
6/30/2015,0.0021
7/31/2015,0.0015
8/31/2015,0.0116
9/30/2015,0.0064
10/31/2015,0.0027
11/30/2015,0.0058
12/31/2015,0.0031
1/31/2016,0.0097
2/29/2016,0.0071
3/31/2016,0.0005
4/30/2016,0.0071
5/31/2016,0.0014
6/30/2016,0.0044
7/31/2016,0.0052
8/31/2016,0.0049
9/30/2016,0.0088
10/30/2016,0.0008
11/30/2016,0.0141
12/30/2016,0.0164
1/31/2017,0.0023
2/28/2017,0.0163
3/31/2017,-0.0003
4/30/2017,0.0041
5/31/2017,0.0022
6/30/2017,-0.0016
7/31/2017,0.0026
8/31/2017,0.0055
9/30/2017,0.0045
10/31/2017,0.0038
11/30/2017,-0.0005
12/31/2017,-0.0012
1/31/2018,-0.0004
2/28/2018,0.0113
3/31/2018,0.0053
4/30/2018,0.0026
5/31/2018,0.0041
6/30/2018,0.0002
7/31/2018,0.0044
8/31/2018,0.0062
9/30/2018,0.0044
10/31/2018,0.0055
11/30/2018,0.0008
12/31/2018,0.0015
1/31/2019,0.0061
2/28/2019,0.0113
3/31/2019,0.0048
4/30/2019,0.0079
5/31/2019,0.0034
6/30/2019,0.0046
7/31/2019,0.0072
8/31/2019,-0.0003
9/30/2019,-0.0003
10/31/2019,0.0103
11/30/2019,0.0075
12/31/2019,0.0149
1/31/2020,0.004
2/29/2020,0.0118
3/31/2020,0.0121
4/30/2020,0.009607898
5/31/2020,0.005489529
6/30/2020,0.004892243
7/31/2020,0.0007
8/31/2020,0.004236015
9/30/2020,1.6547E-05
10/31/2020,0.000421943
11/30/2020,0.0028
12/31/2020,0.003018833
1/31/2021,0.006338984
2/28/2021,-0.000634298
3/31/2021,0.005575852
4/30/2021,-0.002228472
5/31/2021,0.002652896
6/30/2021,-0.001925182
7/31/2021,-0.004267423
8/31/2021,0.003658431
