Date,capula--tr-fund
3/31/2010,0.002782351
4/30/2010,0.026607122
5/31/2010,0.049791642
6/30/2010,0.01243577
7/31/2010,-0.036215477
8/31/2010,0.05044195
9/30/2010,-0.00357667
10/31/2010,-0.019463334
11/30/2010,0.015987363
12/31/2010,-0.008628947
1/31/2011,-0.022305716
2/28/2011,0.005985347
3/31/2011,-0.017118988
4/30/2011,-0.010683928
5/31/2011,0.009806422
6/30/2011,0.007449284
7/31/2011,0.024390153
8/31/2011,0.04578815
9/30/2011,0.072986338
10/31/2011,-0.027804184
11/30/2011,0.045815929
12/31/2011,-0.017284527
1/31/2012,-0.045803821
2/29/2012,-0.030672485
3/31/2012,-0.010488928
4/30/2012,0.007260842
5/31/2012,0.031821566
6/30/2012,-0.031281014
7/31/2012,-0.010555491
8/31/2012,-0.002189915
9/30/2012,-0.028898883
10/31/2012,-0.019574389
11/30/2012,-0.002283614
12/31/2012,0.002384653
1/31/2013,-0.004522746
2/28/2013,0.005346321
3/31/2013,0.004676995
4/30/2013,-0.007068359
5/31/2013,0.001996067
6/30/2013,0.007668102
7/31/2013,-0.003962213
8/31/2013,0.007290051
9/30/2013,-0.000767099
10/31/2013,-0.009434613
11/30/2013,-0.012434278
12/31/2013,-0.013148981
1/31/2014,0.005576898
2/28/2014,-0.003448883
3/31/2014,-0.006459784
4/30/2014,0.003054008
5/31/2014,-0.004354124
6/30/2014,0.00198072
7/31/2014,0.000793182
8/31/2014,-0.004642664
9/30/2014,0.001576212
10/31/2014,-0.00446263
11/30/2014,0.00148512
12/31/2014,0.008617026
1/31/2015,0.01361197
2/28/2015,-0.0090449
3/31/2015,0.004730733
4/30/2015,-0.00891646
5/31/2015,0.002822768
6/30/2015,0.002752762
7/31/2015,-0.004984885
8/31/2015,0.036774367
9/30/2015,0.01349142
10/31/2015,-0.018292113
11/30/2015,0.002630079
12/31/2015,-0.00011038
1/31/2016,0.01185306
2/29/2016,0.000498799
3/31/2016,-0.022176614
4/30/2016,-0.001875412
5/31/2016,-0.004159505
6/30/2016,0.006508764
7/31/2016,0.004434018
8/31/2016,-0.003222273
9/30/2016,0.004422327
10/31/2016,-0.003332152
11/30/2016,0.003286461
12/31/2016,0.007602905
1/31/2017,-0.015796841
2/28/2017,0.001252469
3/31/2017,-0.026443233
4/30/2017,-0.006196
5/31/2017,-0.000973103
6/30/2017,-0.007180805
7/31/2017,-0.007760351
8/31/2017,0.001432452
9/30/2017,-0.000547095
10/31/2017,-0.001468427
11/30/2017,-0.004787404
12/31/2017,-0.003423708
1/31/2018,-0.000925133
2/28/2018,0.005171436
3/31/2018,0.001119487
4/30/2018,-0.014369047
5/31/2018,0.000255949
6/30/2018,-0.003257255
7/31/2018,-0.004535317
8/31/2018,-0.000291175
9/30/2018,-0.000279859
10/31/2018,0.009927852
11/30/2018,-0.006193481
12/31/2018,0.026480787
1/31/2019,-0.033430461
2/28/2019,-0.0020065
3/31/2019,-0.000540114
4/30/2019,-0.002525668
5/31/2019,0.009871508
6/30/2019,-0.013923339
7/31/2019,-0.000106544
8/31/2019,0.010179408
9/30/2019,-0.003568524
10/31/2019,-0.002624464
11/30/2019,-0.00186042
12/31/2019,0.001324924
1/31/2020,0.001312986
2/29/2020,0.040610121
3/31/2020,0.125796076
4/30/2020,-0.049434742
5/31/2020,-0.016161173
6/30/2020,-0.00135436
7/31/2020,-0.013469838
8/31/2020,-0.005456028
9/30/2020,0.000781123
10/31/2020,0.002921144
11/30/2020,-0.021615409
12/31/2020,-0.002968964
1/31/2021,0.015404695
2/28/2021,-0.010603804
3/31/2021,-0.020212389
4/30/2021,-0.012647982
5/31/2021,-0.007497201
6/30/2021,-0.002258437
7/31/2021,-0.003749899
8/31/2021,-0.004206545
