Date,de-shaw--orienteer
7/31/2013,0.024
8/31/2013,-0.032
9/30/2013,0.043
10/31/2013,0.033
11/30/2013,0.008
12/31/2013,0.007
1/31/2014,-0.018
2/28/2014,0.034
3/31/2014,0.003
4/30/2014,0.018
5/31/2014,0.032
6/30/2014,0.021
7/31/2014,-0.011
8/31/2014,0.035
9/30/2014,-0.034
10/31/2014,0.019
11/30/2014,0.018
12/31/2014,-0.012
1/31/2015,0.03
2/28/2015,0.015
3/31/2015,0.009
4/30/2015,0.007
5/31/2015,-0.001
6/30/2015,-0.036
7/31/2015,0.012
8/31/2015,-0.05
9/30/2015,-0.014
10/31/2015,0.038
11/30/2015,-0.001
12/31/2015,-0.017
1/31/2016,-0.009
2/29/2016,-0.008
3/31/2016,0.034
4/30/2016,0.01
5/31/2016,0.003
6/30/2016,0.026
7/31/2016,0.024
8/31/2016,-0.001
9/30/2016,0.01
10/31/2016,-0.017
11/30/2016,-0.021
12/31/2016,0.015
1/31/2017,0.002
2/28/2017,0.02
3/31/2017,0.005
4/30/2017,0.017
5/31/2017,0.01
6/30/2017,-0.014
7/31/2017,0.019
8/31/2017,0.021
9/30/2017,-0.001
10/31/2017,0.023
11/30/2017,-0.002
12/31/2017,0.014
1/31/2018,0.005
2/28/2018,-0.046
3/31/2018,0.009
4/30/2018,0.011
5/31/2018,0.008
6/30/2018,-0.009
7/31/2018,0.016
8/31/2018,-0.009
9/30/2018,0.019
10/31/2018,-0.049
11/30/2018,0.009
12/31/2018,-0.031
1/31/2019,0.081
2/28/2019,0.015
3/31/2019,0.036
4/30/2019,0.018
5/31/2019,-0.021
6/30/2019,0.058
7/31/2019,0.016
8/31/2019,0.011
9/30/2019,0.007
10/31/2019,0.007
11/30/2019,0.008
12/31/2019,0.018
1/31/2020,0.005
2/29/2020,-0.045
3/31/2020,-0.205
4/30/2020,0.013
5/31/2020,0.014
6/30/2020,0.013
7/31/2020,0.026
8/31/2020,0.022
9/30/2020,-0.008
10/31/2020,-0.01
11/30/2020,0.057
12/31/2020,0.023
1/31/2021,-0.001
2/28/2021,-0.013
3/31/2021,0.012
4/30/2021,0.027
5/31/2021,0.015
6/30/2021,0.022
7/31/2021,0.03
8/31/2021,0.01
9/30/2021,-0.018
