Date,dld--convertible-arbitrage
1/31/2018,0.008
2/28/2018,0.0118
3/31/2018,0.0062
4/30/2018,0.01
5/31/2018,0.0125
6/30/2018,0.0147
7/31/2018,0.0097
8/31/2018,0.003
9/30/2018,0.0085
10/31/2018,0.0195
11/30/2018,0.0028
12/31/2018,0.0176
1/31/2019,0.0113
2/28/2019,-0.0115
3/31/2019,0.001
4/30/2019,0.01
5/31/2019,0.0023
6/30/2019,0.0103
7/31/2019,0.015
8/31/2019,0.0099
9/30/2019,0.0034
10/31/2019,0.0035
11/30/2019,0.015
12/31/2019,-0.0004
1/31/2020,0.0053
2/29/2020,0.0385
3/31/2020,0.0036
4/30/2020,0.0213
5/31/2020,0.0029
6/30/2020,0.0147
7/31/2020,0.0208
8/31/2020,0.0571
9/30/2020,0.023
10/31/2020,0.0128
11/30/2020,0.0238
12/31/2020,0.0092
1/31/2021,0.0114
2/28/2021,0.0071
3/31/2021,-0.0024
4/30/2021,-0.0027
5/31/2021,0.0012
6/30/2021,-0.0016
7/31/2021,0.0043
8/31/2021,0.0032
9/30/2021,0.0076
10/31/2021,0.0051
11/30/2021,0.01
12/31/2021,0.0013
1/31/2022,-0.0029
