Date,eckhardt-trading-company--evolution-strategy
8/31/1991,-0.01
9/30/1991,0.0664
10/31/1991,0.0025
11/30/1991,0.0209
12/31/1991,0.2792
1/31/1992,-0.1527
2/29/1992,-0.0756
3/31/1992,-0.057
4/30/1992,0.0222
5/31/1992,-0.0345
6/30/1992,0.0935
7/31/1992,0.1143
8/31/1992,0.0751
9/30/1992,-0.0118
10/31/1992,-0.0435
11/30/1992,0.077
12/31/1992,-0.046
1/31/1993,-0.0138
2/28/1993,0.0963
3/31/1993,-0.0828
4/30/1993,0.0941
5/31/1993,0.0381
6/30/1993,0.1213
7/31/1993,0.0941
8/31/1993,0.0485
9/30/1993,-0.0667
10/31/1993,0.0174
11/30/1993,0.049
12/31/1993,0.0945
1/31/1994,-0.183
2/28/1994,-0.007
3/31/1994,0.1058
4/30/1994,0.0217
5/31/1994,0.0505
6/30/1994,0.0166
7/31/1994,-0.001
8/31/1994,-0.0859
9/30/1994,0.1336
10/31/1994,-0.105
11/30/1994,0.0874
12/31/1994,-0.1045
1/31/1995,-0.0139
2/28/1995,0.0885
3/31/1995,0.1413
4/30/1995,0.0321
5/31/1995,0.2013
6/30/1995,-0.0132
7/31/1995,-0.1031
8/31/1995,-0.0327
9/30/1995,-0.028
10/31/1995,-0.0558
11/30/1995,0.0924
12/31/1995,0.1301
1/31/1996,0.0872
2/29/1996,-0.054
3/31/1996,0.026
4/30/1996,0.1748
5/31/1996,-0.0928
6/30/1996,-0.0332
7/31/1996,-0.0428
8/31/1996,-0.012
9/30/1996,0.1755
10/31/1996,0.1624
11/30/1996,0.1143
12/31/1996,-0.0551
1/31/1997,0.1266
2/28/1997,0.0691
3/31/1997,0.066
4/30/1997,0.0124
5/31/1997,0.0189
6/30/1997,0.0539
7/31/1997,0.0918
8/31/1997,-0.0411
9/30/1997,0.0651
10/31/1997,-0.0041
11/30/1997,-0.0354
12/31/1997,-0.0235
1/31/1998,0.0477
2/28/1998,0.0248
3/31/1998,-0.032
4/30/1998,-0.0517
5/31/1998,0.0189
6/30/1998,0.0157
7/31/1998,-0.0159
8/31/1998,0.2528
9/30/1998,0.0018
10/31/1998,0.0039
11/30/1998,-0.0015
12/31/1998,0.0065
1/31/1999,0.0149
2/28/1999,0.0512
3/31/1999,-0.0618
4/30/1999,-0.0259
5/31/1999,-0.0243
6/30/1999,0.0143
7/31/1999,0.0518
8/31/1999,-0.0562
9/30/1999,0.0331
10/31/1999,-0.0286
11/30/1999,0.0004
12/31/1999,-0.0073
1/31/2000,-0.0214
2/29/2000,-0.0061
3/31/2000,-0.0194
4/30/2000,-0.0029
5/31/2000,0.0188
6/30/2000,-0.0145
7/31/2000,-0.0271
8/31/2000,0.0043
9/30/2000,0.0148
10/31/2000,0.0083
11/30/2000,0.123
12/31/2000,0.1002
1/31/2001,0.0163
2/28/2001,-0.0107
3/31/2001,0.004
4/30/2001,-0.0048
5/31/2001,0.034
6/30/2001,-0.0328
7/31/2001,-0.0142
8/31/2001,0.0587
9/30/2001,-0.0328
10/31/2001,0.0558
11/30/2001,-0.0236
12/31/2001,0.0076
1/31/2002,0.0269
2/28/2002,-0.0455
3/31/2002,-0.0099
4/30/2002,0.0392
5/31/2002,-0.0068
6/30/2002,0.0259
7/31/2002,0.0224
8/31/2002,-0.0034
9/30/2002,-0.0101
10/31/2002,-0.019
11/30/2002,-0.014
12/31/2002,0.1079
1/31/2003,0.0156
2/28/2003,0.0726
3/31/2003,-0.0058
4/30/2003,0.0031
5/31/2003,0.0478
6/30/2003,-0.008
7/31/2003,-0.0155
8/31/2003,0.0044
9/30/2003,0.0015
10/31/2003,-0.007
11/30/2003,0.0086
12/31/2003,0.0269
1/31/2004,-0.0222
2/29/2004,0.0428
3/31/2004,-0.0075
4/30/2004,-0.0437
5/31/2004,0.0004
6/30/2004,-0.0365
7/31/2004,-0.0269
8/31/2004,0.044
9/30/2004,0.0086
10/31/2004,0.0597
11/30/2004,0.0439
12/31/2004,-0.0112
1/31/2005,-0.0338
2/28/2005,0.0023
3/31/2005,0.0133
4/30/2005,-0.0179
5/31/2005,0.0616
6/30/2005,0.0325
7/31/2005,-0.002
8/31/2005,0.0372
9/30/2005,-0.0186
10/31/2005,0.0031
11/30/2005,0.0064
12/31/2005,0.0034
1/31/2006,0.0067
2/28/2006,-0.0213
3/31/2006,-0.0436
4/30/2006,0.0492
5/31/2006,0.0134
6/30/2006,0.0183
7/31/2006,-0.0354
8/31/2006,0.0186
9/30/2006,-0.0179
10/31/2006,0.0067
11/30/2006,0.0595
12/31/2006,-0.0233
1/31/2007,0.0037
2/28/2007,0.0067
3/31/2007,-0.0407
4/30/2007,0.0319
5/31/2007,0.017
6/30/2007,0.0521
7/31/2007,0.0123
8/31/2007,-0.0176
9/30/2007,0.1181
10/31/2007,0.0539
11/30/2007,0.0306
12/31/2007,0.0376
1/31/2008,0.0185
2/29/2008,0.1001
3/31/2008,0.0021
4/30/2008,0.0014
5/31/2008,0.017
6/30/2008,0.031
7/31/2008,-0.0547
8/31/2008,-0.0271
9/30/2008,0.0269
10/31/2008,0.0017
11/30/2008,0.012
12/31/2008,0.0026
1/31/2009,-0.0138
2/28/2009,-0.0023
3/31/2009,0.0086
4/30/2009,-0.0179
5/31/2009,0.0341
6/30/2009,-0.0506
7/31/2009,0.0126
8/31/2009,0.0048
9/30/2009,0.0235
10/31/2009,-0.0485
11/30/2009,0.0674
12/31/2009,-0.0564
1/31/2010,-0.0692
2/28/2010,-0.0112
3/31/2010,0.0052
4/30/2010,0.0255
5/31/2010,0.0273
6/30/2010,0.0553
7/31/2010,-0.0187
8/31/2010,0.0363
9/30/2010,0.0509
10/31/2010,0.0362
11/30/2010,-0.0235
12/31/2010,0.0845
1/31/2011,-0.0324
2/28/2011,0.0307
3/31/2011,-0.0148
4/30/2011,0.0904
5/31/2011,-0.0426
6/30/2011,-0.05
7/31/2011,0.0085
8/31/2011,-0.0032
9/30/2011,-0.0807
10/31/2011,-0.0392
11/30/2011,-0.0253
12/31/2011,0.0003
1/31/2012,0.0136
2/29/2012,0.0168
3/31/2012,-0.0247
4/30/2012,0.0161
5/31/2012,0.0823
6/30/2012,-0.0671
7/31/2012,0.0829
8/31/2012,0.0172
9/30/2012,-0.0095
10/31/2012,-0.0791
11/30/2012,0.0028
12/31/2012,-0.0007
1/31/2013,0.0326
2/28/2013,-0.0127
3/31/2013,0.0085
4/30/2013,0.0045
5/31/2013,-0.0503
6/30/2013,-0.0453
7/31/2013,-0.0073
8/31/2013,0.0057
9/30/2013,0.0147
10/31/2013,-0.001
11/30/2013,0.0389
12/31/2013,0.0234
1/31/2014,-0.0238
2/28/2014,0.0711
3/31/2014,-0.0502
4/30/2014,0.0072
5/31/2014,0.0172
6/30/2014,0.007
7/31/2014,-0.0436
8/31/2014,0.054
9/30/2014,0.0116
10/31/2014,0.0544
11/30/2014,0.0363
12/31/2014,0.015
1/31/2015,0.0472
2/28/2015,-0.0046
3/31/2015,-0.0066
4/30/2015,-0.0166
5/31/2015,0.0213
6/30/2015,-0.0482
7/31/2015,0.0022
8/31/2015,-0.0469
9/30/2015,0.0306
10/31/2015,-0.0068
11/30/2015,0.0162
12/31/2015,-0.0741
1/31/2016,0.0776
2/29/2016,0.033
3/31/2016,-0.0213
4/30/2016,0.0031
5/31/2016,-0.0206
6/30/2016,0.0853
7/31/2016,-0.0003
8/31/2016,-0.088
9/30/2016,-0.0204
10/31/2016,-0.0271
11/30/2016,0.0127
12/31/2016,0.0368
1/31/2017,-0.0345
2/28/2017,-0.0117
3/31/2017,-0.0193
4/30/2017,0.0187
5/31/2017,0.0021
6/30/2017,0.0234
7/31/2017,-0.0054
8/31/2017,0.0097
9/30/2017,-0.0018
10/31/2017,0.0348
11/30/2017,-0.0204
12/31/2017,0.034
1/31/2018,0.0858
2/28/2018,-0.0296
3/31/2018,-0.0085
4/30/2018,-0.0066
5/31/2018,-0.0147
6/30/2018,0.0026
7/31/2018,0.034
8/31/2018,0.0858
9/30/2018,-0.0296
10/31/2018,-0.0085
11/30/2018,-0.0066
12/31/2018,-0.0147
1/31/2019,0.0026
2/28/2019,0.034
