Date,mak-capital--one-fund
9/30/2002,0.01
10/31/2002,-0.036
11/30/2002,-0.039
12/31/2002,0.001
1/31/2003,0.035
2/28/2003,0.022
3/31/2003,0.002
4/30/2003,-0.004
5/31/2003,0.042
6/30/2003,0.027
7/31/2003,0.017
8/31/2003,-0.005
9/30/2003,0.033
10/31/2003,0.008
11/30/2003,0.012
12/31/2003,-0.001
1/31/2004,0.015
2/29/2004,0.013
3/31/2004,-0.045
4/30/2004,0.032
5/31/2004,-0.03
6/30/2004,0.005
7/31/2004,0.015
8/31/2004,-0.001
9/30/2004,0.035
10/31/2004,-0.084
11/30/2004,-0.024
12/31/2004,-0.061
1/31/2005,0.033
2/28/2005,0.042
3/31/2005,0.008
4/30/2005,0.034
5/31/2005,-0.027
6/30/2005,-0.027
7/31/2005,0.121
8/31/2005,0.088
9/30/2005,0.063
10/31/2005,0.021
11/30/2005,0.03
12/31/2005,0.028
1/31/2006,0.036
2/28/2006,0.012
3/31/2006,-0.052
4/30/2006,0.018
5/31/2006,0.012
6/30/2006,-0.006
7/31/2006,0.016
8/31/2006,0.041
9/30/2006,-0.041
10/31/2006,0
11/30/2006,-0.014
12/31/2006,0.03
1/31/2007,0.035
2/28/2007,0.026
3/31/2007,0.03
4/30/2007,-0.005
5/31/2007,0.011
6/30/2007,0.009
7/31/2007,0.046
8/31/2007,0.033
9/30/2007,0.039
10/31/2007,0.03
11/30/2007,0.03
12/31/2007,0.026
1/31/2008,0.035
2/29/2008,0.025
3/31/2008,0.013
4/30/2008,-0.027
5/31/2008,0.016
6/30/2008,0.042
7/31/2008,0.004
8/31/2008,-0.001
9/30/2008,0.001
10/31/2008,-0.008
11/30/2008,0.012
12/31/2008,0.026
1/31/2009,0.065
2/28/2009,0.023
3/31/2009,0.026
4/30/2009,0.102
5/31/2009,0.087
6/30/2009,0.017
7/31/2009,0.031
8/31/2009,0.009
9/30/2009,0.032
10/31/2009,0.019
11/30/2009,0.082
12/31/2009,0.011
1/31/2010,0.024
2/28/2010,0.02
3/31/2010,-0.015
4/30/2010,0.031
5/31/2010,-0.032
6/30/2010,0.011
7/31/2010,0.008
8/31/2010,0.024
9/30/2010,0.029
10/31/2010,0.055
11/30/2010,0.012
12/31/2010,0.02
1/31/2011,-0.014
2/28/2011,0.009
3/31/2011,-0.011
4/30/2011,0.001
5/31/2011,0.018
6/30/2011,-0.028
7/31/2011,0.05
8/31/2011,0.015
9/30/2011,-0.01
10/31/2011,-0.035
11/30/2011,0.022
12/31/2011,-0.025
1/31/2012,-0.017
2/29/2012,0.005
3/31/2012,-0.014
4/30/2012,-0.023
5/31/2012,0
6/30/2012,-0.042
7/31/2012,-0.02
8/31/2012,0.033
9/30/2012,0.007
10/31/2012,-0.02
11/30/2012,0.003
12/31/2012,0.019
1/31/2013,0.071
2/28/2013,-0.007
3/31/2013,0.012
4/30/2013,-0.041
5/31/2013,0.034
6/30/2013,-0.026
7/31/2013,-0.027
8/31/2013,0.027
9/30/2013,-0.052
10/31/2013,-0.023
11/30/2013,0.002
12/31/2013,0.005
1/31/2014,0.007
2/28/2014,0.041
3/31/2014,-0.013
4/30/2014,0.004
5/31/2014,-0.003
6/30/2014,-0.022
7/31/2014,-0.035
8/31/2014,-0.022
9/30/2014,0.034
10/31/2014,-0.003
11/30/2014,0.082
12/31/2014,0.034
1/31/2015,0.064
2/28/2015,-0.016
3/31/2015,0.037
4/30/2015,-0.057
5/31/2015,0.039
6/30/2015,-0.004
7/31/2015,-0.008
8/31/2015,0.028
9/30/2015,0.035
10/31/2015,0.04
11/30/2015,0.025
12/31/2015,-0.044
1/31/2016,-0.031
2/29/2016,-0.009
3/31/2016,0.038
4/30/2016,0.059
5/31/2016,-0.003
6/30/2016,0.03
7/31/2016,0.026
8/31/2016,0.019
9/30/2016,0.034
10/31/2016,-0.025
11/30/2016,-0.006
12/31/2016,0.014
1/31/2017,0.022
2/28/2017,0.001
3/31/2017,0
4/30/2017,0.002
5/31/2017,-0.013
6/30/2017,-0.011
7/31/2017,-0.021
8/31/2017,0.02
9/30/2017,0.013
10/31/2017,-0.036
11/30/2017,-0.001
12/31/2017,0.136
1/31/2018,0.275
2/28/2018,-0.013
3/31/2018,0.034
4/30/2018,0.07
5/31/2018,0.129
6/30/2018,0.056
7/31/2018,0.275
8/31/2018,-0.013
9/30/2018,0.034
10/31/2018,0.07
11/30/2018,0.129
12/31/2018,0.056
1/31/2019,-0.001
2/28/2019,0.136
