Date,man-ahl--crypto-program-attribution
1/31/2017,-0.063881177
2/28/2017,0.066642042
3/31/2017,0.008521605
4/30/2017,0.064552364
5/31/2017,0.182689422
6/30/2017,0.029433021
7/31/2017,-0.013541075
8/31/2017,0.050721477
9/30/2017,-0.044114057
10/31/2017,0.030467974
11/30/2017,0.081346329
12/31/2017,0.114565311
1/31/2018,0.004180009
2/28/2018,-0.014143285
3/31/2018,0.015562943
4/30/2018,-0.045310225
5/31/2018,5.08E-05
6/30/2018,0.030631909
7/31/2018,-0.022709345
8/31/2018,0.008345264
9/30/2018,-0.011562569
10/31/2018,0.017059707
11/30/2018,0.057731544
12/31/2018,-0.006934494
1/31/2019,0.003735594
2/28/2019,-0.024491207
3/31/2019,0.003223023
4/30/2019,-0.004664562
5/31/2019,0.029714554
6/30/2019,0.024603236
7/31/2019,-0.015349165
8/31/2019,0.03038606
9/30/2019,-0.006635277
10/31/2019,-0.027277312
11/30/2019,0.012153047
12/31/2019,0.0429942
1/31/2020,-0.060008963
2/29/2020,-0.009846672
3/31/2020,-0.00156661
4/30/2020,-0.013489237
5/31/2020,0.011178733
6/30/2020,0.014651957
7/31/2020,0.053344008
8/31/2020,0.022591391
9/30/2020,-0.031666594
10/31/2020,0.002106472
11/30/2020,0.104823363
12/31/2020,0.039566801
1/31/2021,0.076773558
2/28/2021,0.074012209
3/31/2021,0.025457912
4/30/2021,0.057213057
5/31/2021,-0.002341004
6/30/2021,-0.004024284
7/31/2021,-0.012139107
8/31/2021,0.006330015
9/30/2021,-0.010740712
10/31/2021,0.025473167
11/30/2021,0.001451718
12/31/2021,-0.010966612
