Date,man-ahl--crypto-program
1/31/2017,-0.078
2/28/2017,0.064
3/31/2017,0.006
4/30/2017,0.054
5/31/2017,0.147
6/30/2017,0.024
7/31/2017,-0.012
8/31/2017,0.042
9/30/2017,-0.038
10/31/2017,0.025
11/30/2017,0.067
12/31/2017,0.097
1/31/2018,0.003
2/28/2018,-0.014
3/31/2018,0.015
4/30/2018,-0.045
5/31/2018,0
6/30/2018,0.03
7/31/2018,-0.023
8/31/2018,0.008
9/30/2018,-0.012
10/31/2018,0.017
11/30/2018,0.051
12/31/2018,-0.006
1/31/2019,0.003
2/28/2019,-0.024
3/31/2019,0.003
4/30/2019,-0.005
5/31/2019,0.028
6/30/2019,0.02
7/31/2019,-0.012
8/31/2019,0.024
9/30/2019,-0.006
10/31/2019,-0.022
11/30/2019,0.009
12/31/2019,0.034
1/31/2020,-0.06
2/29/2020,-0.011
3/31/2020,-0.003
4/30/2020,-0.014
5/31/2020,0.01
6/30/2020,0.013
7/31/2020,0.052
8/31/2020,0.02
9/30/2020,-0.032
10/31/2020,0.001
11/30/2020,0.09
12/31/2020,0.037
1/31/2021,0.072
2/28/2021,0.069
3/31/2021,0.023
4/30/2021,0.054
5/31/2021,-0.003
6/30/2021,-0.005
7/31/2021,-0.013
8/31/2021,0.005
9/30/2021,-0.012
10/31/2021,0.024
