Date,systematica--alternative-risk-premia
3/31/2017,0.0091
4/30/2017,0.0233
5/31/2017,-0.0032
6/30/2017,-0.0036
7/31/2017,-0.0051
8/31/2017,0.0368
9/30/2017,-0.0235
10/31/2017,0.0266
11/30/2017,-0.0223
12/31/2017,0.0114
1/31/2018,-0.0047
2/28/2018,-0.0361
3/31/2018,0.0057
4/30/2018,0.0031
5/31/2018,-0.014
6/30/2018,-0.0102
7/31/2018,-0.0012
8/31/2018,-0.042
9/30/2018,0.0107
10/31/2018,0.0001
11/30/2018,-0.0214
12/31/2018,0.0362
1/31/2019,0.004
2/28/2019,-0.0026
3/31/2019,0.0192
4/30/2019,0.0034
5/31/2019,-0.0576
6/30/2019,0.0353
7/31/2019,0.008
8/31/2019,-0.0057
9/30/2019,0.0159
10/31/2019,-0.008
11/30/2019,0.0099
12/31/2019,-0.0269
1/31/2020,-0.0159
2/29/2020,-0.053
3/31/2020,0.0151
4/30/2020,0.0012
5/31/2020,-0.005083586
6/30/2020,-0.0104
7/31/2020,0.0027
8/31/2020,-0.0413
9/30/2020,0.0099
10/31/2020,-0.0396
11/30/2020,-0.0239
12/31/2020,0.0247
1/31/2021,-0.0007
2/28/2021,-0.0453
3/31/2021,0.0692
4/30/2021,0.0439
5/31/2021,0.0385
6/30/2021,0.0134
7/31/2021,0.0358
8/31/2021,0.0043
9/30/2021,-0.0373
10/31/2021,0.0104
