Date,tactical-investment-mgmt--commodity-program
7/31/1981,-0.0263
8/31/1981,0.0822
9/30/1981,-0.0206
10/31/1981,-0.042
11/30/1981,0.15
12/31/1981,0.0242
1/31/1982,0.0751
2/28/1982,0.0474
3/31/1982,0.0736
4/30/1982,-0.0034
5/31/1982,0.0147
6/30/1982,0.0574
7/31/1982,-0.0373
8/31/1982,0.1739
9/30/1982,0.147
10/31/1982,-0.0839
11/30/1982,-0.0444
12/31/1982,-0.1116
1/31/1983,0.0513
2/28/1983,0.0206
3/31/1983,-0.0692
4/30/1983,-0.0084
5/31/1983,0.1865
6/30/1983,-0.1861
7/31/1983,0.0602
8/31/1983,0.3098
9/30/1983,-0.0711
10/31/1983,0.0573
11/30/1983,-0.1136
12/31/1983,0.0323
1/31/1984,-0.0347
2/29/1984,-0.0869
3/31/1984,-0.0079
4/30/1984,-0.0405
5/31/1984,0.1241
6/30/1984,-0.0171
7/31/1984,0.1659
8/31/1984,-0.0468
9/30/1984,0.0262
10/31/1984,-0.0494
11/30/1984,-0.0387
12/31/1984,0.0381
1/31/1985,-0.0139
2/28/1985,-0.0295
3/31/1985,0.011
4/30/1985,-0.0144
5/31/1985,-0.0181
6/30/1985,-0.0737
7/31/1985,0.2833
8/31/1985,0.0276
9/30/1985,-0.1168
10/31/1985,0.1437
11/30/1985,-0.0081
12/31/1985,-0.0661
1/31/1986,0.0193
2/28/1986,0.3374
3/31/1986,0.0023
4/30/1986,-0.1198
5/31/1986,-0.0452
6/30/1986,-0.1524
7/31/1986,0.0403
8/31/1986,0.0249
9/30/1986,-0.1908
10/31/1986,-0.1945
11/30/1986,-0.063
12/31/1986,0.0819
1/31/1987,-0.0065
2/28/1987,-0.0508
3/31/1987,-0.0072
4/30/1987,0.6328
5/31/1987,0.095
6/30/1987,-0.0693
7/31/1987,0.1098
8/31/1987,-0.1046
9/30/1987,0.0075
10/31/1987,-0.1338
11/30/1987,0.1389
12/31/1987,0.1205
1/31/1988,-0.0458
2/29/1988,0.0497
3/31/1988,-0.1175
4/30/1988,-0.2137
5/31/1988,0.2255
6/30/1988,0.7156
7/31/1988,-0.1003
8/31/1988,0.0371
9/30/1988,0.015
10/31/1988,-0.0314
11/30/1988,0.0568
12/31/1988,0.0506
1/31/1989,0.013
2/28/1989,-0.0937
3/31/1989,0.0374
4/30/1989,-0.1069
5/31/1989,0.2027
6/30/1989,-0.1122
7/31/1989,0.0385
8/31/1989,-0.1194
9/30/1989,-0.0146
10/31/1989,-0.2602
11/30/1989,0.0381
12/31/1989,0.1139
1/31/1990,0.0601
2/28/1990,0.0762
3/31/1990,0.0767
4/30/1990,0.0956
5/31/1990,-0.0923
6/30/1990,0.0549
7/31/1990,0.1626
8/31/1990,0.1078
9/30/1990,0.182
10/31/1990,0.0352
11/30/1990,0.0129
12/31/1990,-0.0449
1/31/1991,-0.1909
2/28/1991,-0.0471
3/31/1991,0.0469
4/30/1991,-0.0651
5/31/1991,-0.0508
6/30/1991,0.0829
7/31/1991,-0.0596
8/31/1991,-0.1011
9/30/1991,0.0425
10/31/1991,0.0262
11/30/1991,-0.0195
12/31/1991,0.2758
1/31/1992,-0.0655
2/29/1992,-0.1029
3/31/1992,-0.018
4/30/1992,0.1215
5/31/1992,-0.0229
6/30/1992,0.1782
7/31/1992,0.1705
8/31/1992,0.0717
9/30/1992,-0.0022
10/31/1992,-0.051
11/30/1992,0.0298
12/31/1992,-0.0634
1/31/1993,0.0087
2/28/1993,0.1521
3/31/1993,-0.0768
4/30/1993,-0.001
5/31/1993,0.06
6/30/1993,0.062
7/31/1993,0.174
8/31/1993,0.0575
9/30/1993,-0.0669
10/31/1993,-0.0453
11/30/1993,0.0575
12/31/1993,0.0493
1/31/1994,-0.1433
2/28/1994,-0.1453
3/31/1994,-0.0068
4/30/1994,0.0016
5/31/1994,0.1039
6/30/1994,0.0082
7/31/1994,-0.0571
8/31/1994,-0.0834
9/30/1994,0.0415
10/31/1994,0.0382
11/30/1994,0.1643
12/31/1994,0.0294
1/31/1995,-0.0778
2/28/1995,0.0233
3/31/1995,0.1684
4/30/1995,0.0661
5/31/1995,0.1227
6/30/1995,0.0246
7/31/1995,-0.0818
8/31/1995,-0.0591
9/30/1995,-0.0306
10/31/1995,0.0217
11/30/1995,0.0647
12/31/1995,0.3482
1/31/1996,-0.0881
2/29/1996,-0.0421
3/31/1996,0.0485
4/30/1996,0.3224
5/31/1996,-0.0749
6/30/1996,0.0268
7/31/1996,-0.0839
8/31/1996,0.0468
9/30/1996,0.0963
10/31/1996,0.1013
11/30/1996,0.0917
12/31/1996,-0.0643
1/31/1997,0.105
2/28/1997,0.0917
3/31/1997,-0.0109
4/30/1997,-0.0572
5/31/1997,0.08
6/30/1997,-0.1157
7/31/1997,0.1429
8/31/1997,0.0403
9/30/1997,0.0468
10/31/1997,-0.0206
11/30/1997,0.0008
12/31/1997,0.051
1/31/1998,-0.0163
2/28/1998,-0.0406
3/31/1998,-0.0224
4/30/1998,-0.0447
5/31/1998,0.038
6/30/1998,0.0511
7/31/1998,-0.0097
8/31/1998,0.1834
9/30/1998,-0.0182
10/31/1998,-0.0194
11/30/1998,-0.06
12/31/1998,0.1103
1/31/1999,-0.1238
2/28/1999,0.0198
3/31/1999,-0.0881
4/30/1999,0.0456
5/31/1999,-0.0982
6/30/1999,-0.0191
7/31/1999,0.0093
8/31/1999,0.0277
9/30/1999,0.0524
10/31/1999,-0.1495
11/30/1999,0.0285
12/31/1999,0.0321
1/31/2000,0.0382
2/29/2000,-0.0018
3/31/2000,-0.0405
4/30/2000,0.0134
5/31/2000,0.0837
6/30/2000,-0.0359
7/31/2000,-0.012
8/31/2000,0.0346
9/30/2000,-0.0101
10/31/2000,0.0457
11/30/2000,0.0967
12/31/2000,0.0864
1/31/2001,-0.0179
2/28/2001,0.0246
3/31/2001,0.1389
4/30/2001,-0.0774
5/31/2001,0.0304
6/30/2001,0.0361
7/31/2001,-0.0337
8/31/2001,0.0199
9/30/2001,0.0529
10/31/2001,0.0813
11/30/2001,-0.0962
12/31/2001,0.0155
1/31/2002,-0.0552
2/28/2002,0.009
3/31/2002,-0.0043
4/30/2002,-0.0355
5/31/2002,0.0982
6/30/2002,0.0978
7/31/2002,0.0365
8/31/2002,0.0448
9/30/2002,0.0359
10/31/2002,-0.0301
11/30/2002,0.0227
12/31/2002,0.0958
1/31/2003,0.1047
2/28/2003,0.0908
3/31/2003,-0.0741
4/30/2003,0.0431
5/31/2003,0.0611
6/30/2003,-0.0642
7/31/2003,-0.07
8/31/2003,0.0034
9/30/2003,0.0171
10/31/2003,0.1269
11/30/2003,-0.0204
12/31/2003,0.0675
1/31/2004,0.0451
2/29/2004,0.1438
3/31/2004,0.0144
4/30/2004,-0.1894
5/31/2004,-0.0783
6/30/2004,-0.0731
7/31/2004,0.0649
8/31/2004,-0.0317
9/30/2004,0.0598
10/31/2004,0.04
11/30/2004,0.1275
12/31/2004,0.0039
1/31/2005,-0.042
2/28/2005,0.0112
3/31/2005,-0.0378
4/30/2005,-0.0303
5/31/2005,0.0416
6/30/2005,-0.0047
7/31/2005,-0.038
8/31/2005,0.069
9/30/2005,0.0071
10/31/2005,-0.0401
11/30/2005,0.0914
12/31/2005,0.0522
1/31/2006,0.1631
2/28/2006,-0.061
3/31/2006,0.0694
4/30/2006,0.1583
5/31/2006,0.01
6/30/2006,-0.0261
7/31/2006,-0.1006
8/31/2006,0.0452
9/30/2006,-0.0415
10/31/2006,-0.0028
11/30/2006,0.0802
12/31/2006,-0.0379
1/31/2007,-0.0633
2/28/2007,-0.0168
3/31/2007,-0.0715
4/30/2007,0.0858
5/31/2007,-0.0061
6/30/2007,0.0676
7/31/2007,-0.0166
8/31/2007,-0.1049
9/30/2007,0.2603
10/31/2007,0.0369
11/30/2007,-0.0752
12/31/2007,0.0191
1/31/2008,0.0809
2/29/2008,0.2139
3/31/2008,-0.0718
4/30/2008,0.0014
5/31/2008,0.0205
6/30/2008,0.0678
7/31/2008,-0.123
8/31/2008,-0.0164
9/30/2008,-0.0115
10/31/2008,0.2662
11/30/2008,0.0138
12/31/2008,0.0198
1/31/2009,0.003
2/28/2009,-0.0112
3/31/2009,-0.0839
4/30/2009,-0.0265
5/31/2009,0.1567
6/30/2009,-0.034
7/31/2009,0.0533
8/31/2009,0.1029
9/30/2009,-0.0199
10/31/2009,-0.0149
11/30/2009,0.1046
12/31/2009,-0.0198
1/31/2010,-0.0163
2/28/2010,-0.0323
3/31/2010,0.0488
4/30/2010,0.0226
5/31/2010,-0.024
6/30/2010,0.0324
7/31/2010,-0.0054
8/31/2010,-0.0142
9/30/2010,0.1998
10/31/2010,0.1827
11/30/2010,0.0923
12/31/2010,0.1055
1/31/2011,-0.0839
2/28/2011,0.0945
3/31/2011,-0.0771
4/30/2011,0.1353
5/31/2011,-0.1531
6/30/2011,-0.0743
7/31/2011,0.0119
8/31/2011,0.033
9/30/2011,0.033
10/31/2011,-0.1052
11/30/2011,-0.0677
12/31/2011,-0.0043
1/31/2012,-0.0227
2/29/2012,0.0045
3/31/2012,-0.0543
4/30/2012,0.01
5/31/2012,-0.0064
6/30/2012,-0.0071
7/31/2012,0.2117
8/31/2012,0.0122
9/30/2012,-0.0206
10/31/2012,-0.0574
11/30/2012,-0.0339
12/31/2012,-0.0016
1/31/2013,0.0141
2/28/2013,-0.0479
3/31/2013,-0.0015
4/30/2013,-0.0312
5/31/2013,0.0059
6/30/2013,-0.005
7/31/2013,-0.0225
8/31/2013,-0.0277
9/30/2013,-0.0485
10/31/2013,-0.0011
11/30/2013,-0.0011
12/31/2013,0.0129
1/31/2014,-0.0126
2/28/2014,0.0222
3/31/2014,0.0051
4/30/2014,0.0538
5/31/2014,-0.0316
6/30/2014,0.028
7/31/2014,0.1442
8/31/2014,0.0234
9/30/2014,0.1631
10/31/2014,-0.1278
11/30/2014,0.0799
12/31/2014,0.0992
1/31/2015,0.0953
2/28/2015,-0.0417
3/31/2015,0.0056
4/30/2015,-0.0384
5/31/2015,-0.0013
6/30/2015,-0.0909
7/31/2015,0.0438
8/31/2015,0.0699
9/30/2015,0.0227
10/31/2015,-0.0458
11/30/2015,0.0234
12/31/2015,-0.0225
1/31/2016,0.0148
2/29/2016,0.054
3/31/2016,-0.0247
4/30/2016,0.057
5/31/2016,0.0082
6/30/2016,0.0411
7/31/2016,0.0001
8/31/2016,-0.0622
9/30/2016,-0.0172
10/31/2016,-0.006
11/30/2016,0.0333
12/31/2016,-0.0096
1/31/2017,0.0198
2/28/2017,-0.021
3/31/2017,0.0031
4/30/2017,-0.0096
5/31/2017,-0.0231
6/30/2017,0.0311
7/31/2017,0.0269
8/31/2017,0.0614
9/30/2017,-0.0541
10/31/2017,0.019
11/30/2017,-0.0318
12/31/2017,0.0005
1/31/2018,0.0477
2/28/2018,-0.0227
3/31/2018,-0.0507
4/30/2018,0.0002
5/31/2018,0.028
6/30/2018,-0.0088
7/31/2018,-0.0312
8/31/2018,0.0383
9/30/2018,0.0066
10/31/2018,-0.0228
11/30/2018,0.0356
12/31/2018,-0.0025
1/31/2019,-0.0085
2/28/2019,0.0378
3/31/2019,-0.0233
4/30/2019,0.0051
5/31/2019,0.0121
6/30/2019,0.042
7/31/2019,0.0062
8/31/2019,0.0847
9/30/2019,-0.0656
10/31/2019,-0.0131
11/30/2019,-0.0425
12/31/2019,0.0125
1/31/2020,0.0132
2/29/2020,0.0532
3/31/2020,0.1042
4/30/2020,-0.016
5/31/2020,-0.018
6/30/2020,-0.0121
7/31/2020,0.0809
8/31/2020,0.0618
9/30/2020,-0.0545
10/31/2020,0.053
11/30/2020,0.0445
12/31/2020,0.1177
1/31/2021,0.0345
2/28/2021,0.0718
3/31/2021,-0.0695
4/30/2021,0.0854
5/31/2021,0.0303
6/30/2021,-0.0541
7/31/2021,0.0335
8/31/2021,0.0235
9/30/2021,0.019
10/31/2021,0.0295
11/30/2021,-0.008
12/31/2021,-0.0073
