Date,tim--trend-2
2/28/1993,0.1599
3/31/1993,0.0711
4/30/1993,0.7048
5/31/1993,-0.014
6/30/1993,-0.0149
7/31/1993,0.0815
8/31/1993,0.0522
9/30/1993,0.1563
10/31/1993,-0.0597
11/30/1993,0.2255
12/31/1993,-0.0282
1/31/1994,-0.0321
2/28/1994,-0.0739
3/31/1994,0.0724
4/30/1994,0.0468
5/31/1994,0.196
6/30/1994,0.6924
7/31/1994,-0.2383
8/31/1994,0.0242
9/30/1994,0.0129
10/31/1994,0.1566
11/30/1994,0.0357
12/31/1994,-0.1125
1/31/1995,0.0161
2/28/1995,-0.143
3/31/1995,0.1669
4/30/1995,-0.0507
5/31/1995,0.1204
6/30/1995,-0.005
7/31/1995,0.0623
8/31/1995,-0.0494
9/30/1995,0.0579
10/31/1995,-0.1011
11/30/1995,0.1853
12/31/1995,0.2489
1/31/1996,0.025
2/29/1996,-0.0292
3/31/1996,0.0151
4/30/1996,0.1568
5/31/1996,-0.1347
6/30/1996,0.0618
7/31/1996,0.0131
8/31/1996,-0.0253
9/30/1996,0.1707
10/31/1996,-0.1069
11/30/1996,0.0334
12/31/1996,-0.0501
1/31/1997,-0.0983
2/28/1997,0.0577
3/31/1997,0.0639
4/30/1997,-0.0126
5/31/1997,0.0408
6/30/1997,-0.034
7/31/1997,0.0853
8/31/1997,0.0216
9/30/1997,0.1827
10/31/1997,0.2364
11/30/1997,0.0037
12/31/1997,0.3137
1/31/1998,-0.1017
2/28/1998,-0.1046
3/31/1998,-0.0803
4/30/1998,-0.0095
5/31/1998,0.101
6/30/1998,0.1563
7/31/1998,0.1998
8/31/1998,0.0637
9/30/1998,-0.0749
10/31/1998,-0.1152
11/30/1998,0.0195
12/31/1998,-0.0183
1/31/1999,0.0759
2/28/1999,0.2944
3/31/1999,0.1043
4/30/1999,0.0847
5/31/1999,0.0073
6/30/1999,0.0221
7/31/1999,0.2092
8/31/1999,0.0192
9/30/1999,-0.0357
10/31/1999,0.1157
11/30/1999,-0.0881
12/31/1999,0.2611
1/31/2000,-0.0309
2/29/2000,-0.1764
3/31/2000,-0.013
4/30/2000,-0.0637
5/31/2000,0.288
6/30/2000,0.3518
7/31/2000,0.0178
8/31/2000,-0.0518
9/30/2000,0.1043
10/31/2000,-0.1258
11/30/2000,0.0522
12/31/2000,-0.0457
1/31/2001,-0.0717
2/28/2001,0.2297
3/31/2001,0.1334
4/30/2001,0.0836
5/31/2001,0.0653
6/30/2001,0.0189
7/31/2001,0.0372
8/31/2001,0.0553
9/30/2001,0.0709
10/31/2001,-0.0223
11/30/2001,0.1711
12/31/2001,0.2651
1/31/2002,0.0166
2/28/2002,-0.1396
3/31/2002,0.0048
4/30/2002,0.201
5/31/2002,-0.0658
6/30/2002,-0.0245
7/31/2002,-0.1415
8/31/2002,0.1093
9/30/2002,0.2163
10/31/2002,0.092
11/30/2002,0.1762
12/31/2002,-0.0878
1/31/2003,0.0966
2/28/2003,0.1806
3/31/2003,-0.0706
4/30/2003,0.0174
5/31/2003,0.0557
6/30/2003,0.0445
7/31/2003,0.1398
8/31/2003,-0.1771
9/30/2003,0.0974
10/31/2003,-0.1302
11/30/2003,-0.0015
12/31/2003,0.1154
1/31/2004,0.1272
2/29/2004,0.0582
3/31/2004,0.0442
4/30/2004,-0.0605
5/31/2004,0.0506
6/30/2004,-0.0946
7/31/2004,-0.0019
8/31/2004,0.4141
9/30/2004,0.0048
10/31/2004,-0.112
11/30/2004,0.0063
12/31/2004,0.0021
1/31/2005,-0.1211
2/28/2005,-0.0795
3/31/2005,0.0114
4/30/2005,0.1936
5/31/2005,-0.1181
6/30/2005,0.0152
7/31/2005,-0.1311
8/31/2005,-0.1645
9/30/2005,-0.0191
10/31/2005,-0.2223
11/30/2005,0.231
12/31/2005,0.1156
1/31/2006,-0.1052
2/28/2006,0.1345
3/31/2006,-0.0355
4/30/2006,-0.2049
5/31/2006,-0.0463
6/30/2006,0.0622
7/31/2006,-0.0353
8/31/2006,0.1197
9/30/2006,-0.1391
10/31/2006,-0.0463
11/30/2006,0.0393
12/31/2006,0.1342
1/31/2007,-0.0483
2/28/2007,0.1021
3/31/2007,0.0627
4/30/2007,-0.0776
5/31/2007,-0.0449
6/30/2007,-0.0876
7/31/2007,0.2159
8/31/2007,0.0453
9/30/2007,0.2394
10/31/2007,0.0844
11/30/2007,-0.0846
12/31/2007,-0.0438
1/31/2008,-0.2197
2/29/2008,0.0283
3/31/2008,0.1426
4/30/2008,-0.0493
5/31/2008,0.103
6/30/2008,0.1057
7/31/2008,0.2059
8/31/2008,0.0285
9/30/2008,0.2684
10/31/2008,-0.0973
11/30/2008,0.0377
12/31/2008,0.2392
1/31/2009,0.0964
2/28/2009,0.1193
3/31/2009,-0.1592
4/30/2009,0.0897
5/31/2009,0.1963
6/30/2009,-0.1177
7/31/2009,0.1203
8/31/2009,0.0915
9/30/2009,0.0322
10/31/2009,0.1351
11/30/2009,-0.0024
12/31/2009,0.1171
1/31/2010,0.0214
2/28/2010,0.1591
3/31/2010,0.0114
4/30/2010,-0.1403
5/31/2010,-0.0908
6/30/2010,-0.0096
7/31/2010,0.0134
8/31/2010,-0.0311
9/30/2010,0.0086
10/31/2010,0.0399
11/30/2010,0.1365
12/31/2010,0.0427
1/31/2011,-0.1381
2/28/2011,0.1422
3/31/2011,-0.1461
4/30/2011,-0.145
5/31/2011,0.0595
6/30/2011,0.1742
7/31/2011,-0.0283
8/31/2011,-0.0492
9/30/2011,0.1071
10/31/2011,-0.0937
11/30/2011,0.2126
12/31/2011,0.0614
1/31/2012,0.172
2/29/2012,-0.0997
3/31/2012,0.1679
4/30/2012,0.1952
5/31/2012,-0.0174
6/30/2012,-0.0972
7/31/2012,-0.1565
8/31/2012,0.1169
9/30/2012,0.0146
10/31/2012,0.0683
11/30/2012,0.1506
12/31/2012,-0.0887
1/31/2013,-0.0662
2/28/2013,-0.0273
3/31/2013,-0.004
4/30/2013,0.1024
5/31/2013,0.0497
6/30/2013,0.1255
7/31/2013,-0.0713
8/31/2013,-0.1107
9/30/2013,0.3186
10/31/2013,0.072
11/30/2013,0.0394
12/31/2013,0.0051
1/31/2014,0.1703
2/28/2014,0.5058
3/31/2014,-0.2006
4/30/2014,0.0177
5/31/2014,0.0282
6/30/2014,0.0988
7/31/2014,-0.1951
8/31/2014,0.035
9/30/2014,0.1247
10/31/2014,0.4818
11/30/2014,0.2276
12/31/2014,0.1178
1/31/2015,-0.0989
2/28/2015,-0.0452
3/31/2015,-0.1065
4/30/2015,-0.0062
5/31/2015,0.3366
6/30/2015,-0.068
7/31/2015,-0.0092
8/31/2015,-0.0686
9/30/2015,0.1461
10/31/2015,-0.0551
11/30/2015,0.1889
12/31/2015,-0.1313
1/31/2016,-0.1986
2/29/2016,0.0082
3/31/2016,0.1216
4/30/2016,0.0125
5/31/2016,-0.057
6/30/2016,0.1271
7/31/2016,0.1139
8/31/2016,0.1107
9/30/2016,0.2334
10/31/2016,0.2114
11/30/2016,-0.0734
12/31/2016,0.2262
1/31/2017,0.0332
2/28/2017,0.1044
3/31/2017,-0.0664
4/30/2017,0.2451
5/31/2017,-0.1911
6/30/2017,-0.1257
7/31/2017,0.1495
8/31/2017,0.0899
9/30/2017,-0.0323
10/31/2017,-0.1685
11/30/2017,-0.0587
12/31/2017,-0.0055
1/31/2018,0.2052
2/28/2018,0.0606
3/31/2018,-0.025
4/30/2018,0.0013
5/31/2018,0.0682
6/30/2018,-0.1244
7/31/2018,0.2064
8/31/2018,0.0946
9/30/2018,-0.0175
10/31/2018,-0.1686
11/30/2018,-0.004
12/31/2018,0.0671
1/31/2019,-0.004
2/28/2019,0.0671
