Date,transtrend--diversified-fund
4/30/2008,0.013790267
5/31/2008,0.038151849
6/30/2008,0.028461666
7/31/2008,-0.038647022
8/31/2008,-0.020012888
9/30/2008,0.062061111
10/31/2008,0.082
11/30/2008,0.0283
12/31/2008,0.0245
1/31/2009,-0.004823022
2/28/2009,0.007707521
3/31/2009,-0.039892119
4/30/2009,0.003101139
5/31/2009,0.020761124
6/30/2009,-0.011635261
7/31/2009,-0.028183713
8/31/2009,0.003792556
9/30/2009,-0.01259407
10/31/2009,-0.04968326
11/30/2009,0.028323065
12/31/2009,-0.063193093
1/31/2010,-0.055913272
2/28/2010,0.016759931
3/31/2010,0.105616281
4/30/2010,0.02279574
5/31/2010,-0.056326703
6/30/2010,-0.002739874
7/31/2010,-0.008580095
8/31/2010,0.035813218
9/30/2010,0.044907123
10/31/2010,0.044627098
11/30/2010,-0.00453442
12/31/2010,0.040362158
1/31/2011,-0.010354568
2/28/2011,0.022404033
3/31/2011,-0.023456626
4/30/2011,0.03164771
5/31/2011,-0.057048356
6/30/2011,-0.032852064
7/31/2011,0.026466563
8/31/2011,-0.042131817
9/30/2011,-0.028876567
10/31/2011,-0.027417116
11/30/2011,0.007645804
12/31/2011,0.020344808
1/31/2012,0.014619911
2/29/2012,0.030300007
3/31/2012,-0.009685358
4/30/2012,0.008520942
5/31/2012,0.087729026
6/30/2012,-0.057428818
7/31/2012,0.042437418
8/31/2012,-0.013961455
9/30/2012,-0.036548715
10/31/2012,-0.048002328
11/30/2012,-0.005157609
12/31/2012,0.007919141
1/31/2013,0.002854704
2/28/2013,-0.017482742
3/31/2013,0.030564949
4/30/2013,0.037134204
5/31/2013,-0.059461092
6/30/2013,-0.006694237
7/31/2013,0.007694358
8/31/2013,-0.032026145
9/30/2013,-0.016397604
10/31/2013,0.017290059
11/30/2013,0.014158566
12/31/2013,0.033204505
1/31/2014,-0.040644995
2/28/2014,0.012823222
3/31/2014,0.009966414
4/30/2014,0.018847648
5/31/2014,0.041689714
6/30/2014,0.011518309
7/31/2014,-0.020410754
8/31/2014,0.048904788
9/30/2014,0.032271063
10/31/2014,-0.016552212
11/30/2014,0.069763492
12/31/2014,0.01440118
1/31/2015,0.055619539
2/28/2015,-0.010607831
3/31/2015,0.016765674
4/30/2015,-0.036682198
5/31/2015,-0.03506868
6/30/2015,-0.067934074
7/31/2015,0.09461089
8/31/2015,-0.07223271
9/30/2015,0.067587684
10/31/2015,-0.02789018
11/30/2015,0.076335572
12/31/2015,-0.053166456
1/31/2016,0.048963553
2/29/2016,0.0575485
3/31/2016,-0.018020966
4/30/2016,-0.039928579
5/31/2016,-0.032136925
6/30/2016,0.077515959
7/31/2016,0.03038606
8/31/2016,-0.017787542
9/30/2016,-0.011736933
10/31/2016,-0.047646215
11/30/2016,0.010118739
12/31/2016,0.031460525
1/31/2017,-0.025801889
2/28/2017,0.053395721
3/31/2017,-0.036251091
4/30/2017,-0.030026527
5/31/2017,-0.019298656
6/30/2017,-0.046752648
7/31/2017,0.013492805
8/31/2017,0.065490413
9/30/2017,-0.078434124
10/31/2017,0.109863566
11/30/2017,0.002109422
12/31/2017,0.023946919
1/31/2018,0.049346617
2/28/2018,-0.093143732
3/31/2018,-0.001761742
4/30/2018,0.02190353
5/31/2018,-0.004436014
6/30/2018,0.026738097
7/31/2018,0.009231834
8/31/2018,0.041312113
9/30/2018,-0.006887354
10/31/2018,-0.077068644
11/30/2018,-0.016310568
12/31/2018,-0.013513323
1/31/2019,-0.057985264
2/28/2019,0.028565554
3/31/2019,0.078937714
4/30/2019,0.054289522
5/31/2019,-0.056408623
6/30/2019,0.01368098
7/31/2019,0.08354074
8/31/2019,0.015136556
9/30/2019,-0.047988013
10/31/2019,-0.054478176
11/30/2019,0.00141477
12/31/2019,0.002823704
1/31/2020,0.006558623
2/29/2020,-0.011161746
3/31/2020,-0.039550355
4/30/2020,0.022224779
5/31/2020,0.004194779
6/30/2020,-0.020236608
7/31/2020,0.075116503
8/31/2020,-0.020902433
9/30/2020,-0.043005708
10/31/2020,0.027370695
11/30/2020,-0.002217826
12/31/2020,0.080534229
1/31/2021,0.016256728
2/28/2021,0.044913761
3/31/2021,0.032064666
4/30/2021,0.019775145
5/31/2021,0.039559532
6/30/2021,-0.012664349
7/31/2021,0.037262477
8/31/2021,0.02275091
9/30/2021,0.030951121
