Date,winton-capital--futures-program
10/31/1997,-0.1297
11/30/1997,0.0996
12/31/1997,0.0834
1/31/1998,0.015
2/28/1998,0.0327
3/31/1998,0.0802
4/30/1998,-0.0148
5/31/1998,0.0853
6/30/1998,0.0323
7/31/1998,0.0135
8/31/1998,0.1106
9/30/1998,0.0452
10/31/1998,-0.0565
11/30/1998,0.0118
12/31/1998,0.0919
1/31/1999,-0.0151
2/28/1999,0.0355
3/31/1999,-0.0424
4/30/1999,0.1009
5/31/1999,-0.0858
6/30/1999,0.0531
7/31/1999,-0.0193
8/31/1999,-0.0364
9/30/1999,-0.0016
10/31/1999,-0.0613
11/30/1999,0.1312
12/31/1999,0.092
1/31/2000,-0.0366
2/29/2000,0.0175
3/31/2000,-0.0313
4/30/2000,0.0153
5/31/2000,-0.005
6/30/2000,-0.0128
7/31/2000,-0.0433
8/31/2000,0.0282
9/30/2000,-0.0754
10/31/2000,0.025
11/30/2000,0.071
12/31/2000,0.1604
1/31/2001,0.0458
2/28/2001,0.0057
3/31/2001,0.0748
4/30/2001,-0.0523
5/31/2001,-0.0332
6/30/2001,-0.0295
7/31/2001,0.0072
8/31/2001,0.0002
9/30/2001,0.0448
10/31/2001,0.1245
11/30/2001,-0.0756
12/31/2001,-0.0402
1/31/2002,-0.1081
2/28/2002,-0.0614
3/31/2002,0.1144
4/30/2002,-0.0466
5/31/2002,-0.038
6/30/2002,0.0732
7/31/2002,0.0479
8/31/2002,0.0548
9/30/2002,0.0742
10/31/2002,-0.0776
11/30/2002,-0.0109
12/31/2002,0.1346
1/31/2003,0.053
2/28/2003,0.1195
3/31/2003,-0.1114
4/30/2003,0.0207
5/31/2003,0.1018
6/30/2003,-0.0585
7/31/2003,-0.0115
8/31/2003,0.0069
9/30/2003,0.0071
10/31/2003,0.0546
11/30/2003,-0.0268
12/31/2003,0.1
1/31/2004,0.0265
2/29/2004,0.1193
3/31/2004,-0.005
4/30/2004,-0.0827
5/31/2004,-0.0016
6/30/2004,-0.0312
7/31/2004,0.0088
8/31/2004,0.0264
9/30/2004,0.0478
