Date,emc-capital--classic-program
1/31/1985,0.267
2/28/1985,0.231
3/31/1985,-0.203
4/30/1985,-0.278
5/31/1985,0.725
6/30/1985,-0.225
7/31/1985,0.292
8/31/1985,-0.188
9/30/1985,-0.269
10/31/1985,-0.066
11/30/1985,0.47
12/31/1985,0.2
1/31/1986,0.336
2/28/1986,0.842
3/31/1986,0.233
4/30/1986,-0.098
5/31/1986,-0.052
6/30/1986,-0.147
7/31/1986,0.066
8/31/1986,0.072
9/30/1986,-0.003
10/31/1986,-0.069
11/30/1986,0
12/31/1986,0
1/31/1987,0.274
2/28/1987,-0.093
3/31/1987,0.156
4/30/1987,1.083
5/31/1987,-0.01
6/30/1987,-0.037
7/31/1987,0.099
8/31/1987,-0.131
9/30/1987,0.067
10/31/1987,-0.061
11/30/1987,0.016
12/31/1987,0.078
1/31/1988,0.033
2/29/1988,0.094
3/31/1988,-0.058
4/30/1988,-0.166
5/31/1988,0.095
6/30/1988,0.771
7/31/1988,-0.196
8/31/1988,0.046
9/30/1988,0.105
10/31/1988,0.158
11/30/1988,0.085
12/31/1988,0.119
1/31/1989,-0.041
2/28/1989,-0.024
3/31/1989,0.171
4/30/1989,-0.182
5/31/1989,0.34
6/30/1989,-0.04
7/31/1989,0.053
8/31/1989,-0.224
9/30/1989,-0.077
10/31/1989,-0.193
11/30/1989,0.006
12/31/1989,0.36
1/31/1990,0.053
2/28/1990,0.005
3/31/1990,0.364
4/30/1990,0.396
5/31/1990,-0.159
6/30/1990,0.18
7/31/1990,0.115
8/31/1990,0.167
9/30/1990,0.094
10/31/1990,0.029
11/30/1990,0.002
12/31/1990,-0.02
1/31/1991,-0.073
2/28/1991,-0.118
3/31/1991,0.002
4/30/1991,-0.048
5/31/1991,-0.032
6/30/1991,0.011
7/31/1991,-0.113
8/31/1991,-0.018
9/30/1991,0.134
10/31/1991,-0.028
11/30/1991,-0.026
12/31/1991,0.446
1/31/1992,-0.152
2/29/1992,-0.058
3/31/1992,-0.057
4/30/1992,-0.048
5/31/1992,-0.038
6/30/1992,0.054
7/31/1992,0.094
8/31/1992,0.012
9/30/1992,-0.121
10/31/1992,-0.011
11/30/1992,0.008
12/31/1992,-0.043
1/31/1993,0.069
2/28/1993,0.085
3/31/1993,0.03
4/30/1993,0.102
5/31/1993,-0.055
6/30/1993,-0.015
7/31/1993,0.22
8/31/1993,0.095
9/30/1993,-0.027
10/31/1993,-0.019
11/30/1993,-0.024
12/31/1993,0.082
1/31/1994,-0.13
2/28/1994,-0.114
3/31/1994,0.12
4/30/1994,-0.014
5/31/1994,0.119
6/30/1994,-0.012
7/31/1994,-0.068
8/31/1994,-0.072
9/30/1994,-0.012
10/31/1994,-0.111
11/30/1994,0.144
12/31/1994,-0.002
1/31/1995,-0.079
2/28/1995,0.077
3/31/1995,0.213
4/30/1995,0.167
5/31/1995,0.228
6/30/1995,-0.007
7/31/1995,-0.193
8/31/1995,-0.133
9/30/1995,-0.097
10/31/1995,-0.051
11/30/1995,0.008
12/31/1995,0.172
1/31/1996,-0.029
2/29/1996,-0.165
3/31/1996,-0.016
4/30/1996,0.035
5/31/1996,-0.059
6/30/1996,0.041
7/31/1996,0.015
8/31/1996,-0.028
9/30/1996,0.03
10/31/1996,0.189
11/30/1996,0.096
12/31/1996,-0.087
