Date,Tim_Trend_2,Abraham Trading Company _Diversified Program_6,Dunn Capital Management _World Monetary & Agriculture Program_81,Eckhardt Trading Company _ Evolution Strategy_84,EMC Capital _ EMC Classic Program_92,Insch_Kintillo_111,Japan - DFA Japan_DFJSX_114,Kerrisdale Capital_Research Activism_121,MAK Capital _ Multi-Strategy_140,Mark J. Walsh _ Standard Program_142,Millburn Ridgefield _ Diversified Program_146,Rabar Market Research_Diversified Program_165,Whale Rock_Long/Short Equity_214,Winton Capital_Futures Program_215
1/31/1980,--,--,--,--,--,--,--,--,--,--,20.46%,--,--,--
2/29/1980,--,--,--,--,--,--,--,--,--,--,4.15%,--,--,--
3/31/1980,--,--,--,--,--,--,--,--,--,--,9.41%,--,--,--
4/30/1980,--,--,--,--,--,--,--,--,--,--,-1.84%,--,--,--
5/31/1980,--,--,--,--,--,--,--,--,--,--,4.76%,--,--,--
6/30/1980,--,--,--,--,--,--,--,--,--,--,3.42%,--,--,--
7/31/1980,--,--,--,--,--,--,--,--,--,--,1.89%,--,--,--
8/31/1980,--,--,--,--,--,--,--,--,--,--,-1.45%,--,--,--
9/30/1980,--,--,--,--,--,--,--,--,--,--,-0.86%,--,--,--
10/31/1980,--,--,--,--,--,--,--,--,--,--,7.68%,--,--,--
11/30/1980,--,--,--,--,--,--,--,--,--,--,4.20%,--,--,--
12/31/1980,--,--,--,--,--,--,--,--,--,--,5.94%,--,--,--
1/31/1981,--,--,--,--,--,--,--,--,--,--,11.41%,--,--,--
2/28/1981,--,--,--,--,--,--,--,--,--,--,10.37%,--,--,--
3/31/1981,--,--,--,--,--,--,--,--,--,--,-7.34%,--,--,--
4/30/1981,--,--,--,--,--,--,--,--,--,--,9.08%,--,--,--
5/31/1981,--,--,--,--,--,--,--,--,--,--,7.60%,--,--,--
6/30/1981,--,--,--,--,--,--,--,--,--,--,10.24%,--,--,--
7/31/1981,--,--,--,--,--,--,--,--,--,--,6.60%,--,--,--
8/31/1981,--,--,--,--,--,--,--,--,--,--,0.29%,--,--,--
9/30/1981,--,--,--,--,--,--,--,--,--,--,-2.57%,--,--,--
10/31/1981,--,--,--,--,--,--,--,--,--,--,-3.39%,--,--,--
11/30/1981,--,--,--,--,--,--,--,--,--,--,7.37%,--,--,--
12/31/1981,--,--,--,--,--,--,--,--,--,--,-7.69%,--,--,--
