Date,kerrisdale-capital--research-activism
7/31/2009,0.021
8/31/2009,0.021
9/30/2009,0.01
10/31/2009,0.059
11/30/2009,0.193
12/31/2009,0.027
1/31/2010,-0.007
2/28/2010,0.035
3/31/2010,0.122
4/30/2010,0.016
5/31/2010,-0.104
6/30/2010,0.003
7/31/2010,0.037
8/31/2010,0.032
9/30/2010,0.027
10/31/2010,0.011
11/30/2010,0.382
12/31/2010,0.006
1/31/2011,0.049
2/28/2011,0.225
3/31/2011,0.328
4/30/2011,0.288
5/31/2011,0.096
6/30/2011,0.041
7/31/2011,0.006
8/31/2011,0.044
9/30/2011,-0.038
10/31/2011,0.108
11/30/2011,0.056
12/31/2011,0.016
1/31/2012,-0.005
2/29/2012,0.059
3/31/2012,0.042
4/30/2012,0.026
5/31/2012,-0.02
6/30/2012,0.008
7/31/2012,0.033
8/31/2012,0.021
9/30/2012,0.028
10/31/2012,0.021
11/30/2012,0.01
12/31/2012,0.017
1/31/2013,0.036
2/28/2013,0.031
3/31/2013,0.021
4/30/2013,0.008
5/31/2013,0.01
6/30/2013,-0.011
7/31/2013,0.032
8/31/2013,-0.042
9/30/2013,0.042
10/31/2013,0.042
11/30/2013,0.052
12/31/2013,0.027
1/31/2014,-0.06
2/28/2014,0.033
3/31/2014,0.016
4/30/2014,0.006
5/31/2014,0.033
6/30/2014,0.01
7/31/2014,-0.011
8/31/2014,0.017
9/30/2014,-0.021
10/31/2014,0.164
11/30/2014,-0.023
12/31/2014,-0.017
1/31/2015,-0.04
2/28/2015,0.071
3/31/2015,0.009
4/30/2015,0.001
5/31/2015,0.018
6/30/2015,0.017
7/31/2015,0.024
8/31/2015,-0.038
9/30/2015,-0.001
10/31/2015,0.096
11/30/2015,0.018
12/31/2015,-0.014
1/31/2016,-0.066
2/29/2016,-0.102
3/31/2016,0.108
4/30/2016,-0.028
5/31/2016,0.052
6/30/2016,-0.075
7/31/2016,0.044
8/31/2016,0.028
9/30/2016,0.004
10/31/2016,0.019
11/30/2016,0.005
12/31/2016,0.01
1/31/2017,0.023
2/28/2017,0.023
3/31/2017,-0.004
4/30/2017,-0.015
5/31/2017,0.053
6/30/2017,0.005
7/31/2017,-0.002
8/31/2017,0.009
9/30/2017,0.002
10/31/2017,0.021
11/30/2017,0.056
12/31/2017,0.014
1/31/2018,0.013
2/28/2018,-0.032
3/31/2018,0.037
4/30/2018,0.016
5/31/2018,0.098
6/30/2018,0.044
7/31/2018,0.056
8/31/2018,0.014
9/30/2018,0.013
10/31/2018,-0.032
11/30/2018,0.037
12/31/2018,0.016
1/31/2019,0.098
2/28/2019,0.044
