Date,rabar-market-research--diversified-program
1/31/1989,-0.0077
2/28/1989,-0.0357
3/31/1989,0.1382
4/30/1989,-0.0018
5/31/1989,0.1376
6/30/1989,-0.0261
7/31/1989,-0.0284
8/31/1989,-0.1376
9/30/1989,0.0269
10/31/1989,-0.1381
11/30/1989,0.0524
12/31/1989,0.1701
1/31/1990,0.0189
2/28/1990,0.0776
3/31/1990,0.1216
4/30/1990,0.1671
5/31/1990,-0.1361
6/30/1990,0.095
7/31/1990,0.1606
8/31/1990,0.218
9/30/1990,0.104
10/31/1990,0.0487
11/30/1990,0.0251
12/31/1990,-0.0245
1/31/1991,-0.0743
2/28/1991,-0.0775
3/31/1991,0.0226
4/30/1991,-0.0558
5/31/1991,-0.0117
6/30/1991,0.0332
7/31/1991,-0.0812
8/31/1991,-0.0293
9/30/1991,0.0243
10/31/1991,0.0066
11/30/1991,-0.0027
12/31/1991,0.2214
1/31/1992,-0.1226
2/29/1992,-0.0331
3/31/1992,0.0057
4/30/1992,-0.0213
5/31/1992,-0.0077
6/30/1992,0.0547
7/31/1992,0.1293
8/31/1992,0.077
9/30/1992,-0.0712
10/31/1992,-0.0069
11/30/1992,0.0145
12/31/1992,-0.0393
1/31/1993,-0.0012
2/28/1993,0.1417
3/31/1993,0.0022
4/30/1993,0.1089
5/31/1993,0.0345
6/30/1993,-0.0128
7/31/1993,0.1475
8/31/1993,-0.0389
9/30/1993,-0.041
10/31/1993,-0.0603
11/30/1993,0.0563
12/31/1993,0.1007
1/31/1994,-0.1051
2/28/1994,-0.0602
3/31/1994,0.1943
4/30/1994,0.0247
5/31/1994,0.114
6/30/1994,0.18
7/31/1994,-0.0431
8/31/1994,-0.0442
9/30/1994,0.0335
10/31/1994,-0.0417
11/30/1994,0.1065
12/31/1994,-0.0125
1/31/1995,-0.0945
2/28/1995,0.14
3/31/1995,0.1525
4/30/1995,0.0584
5/31/1995,0.0891
6/30/1995,-0.0245
7/31/1995,-0.0928
8/31/1995,-0.0866
9/30/1995,-0.0911
10/31/1995,-0.0448
11/30/1995,0.0242
12/31/1995,0.142
1/31/1996,-0.0013
2/29/1996,-0.0952
3/31/1996,-0.0149
4/30/1996,0.0333
5/31/1996,-0.0345
6/30/1996,0.0154
7/31/1996,-0.0213
8/31/1996,-0.013
9/30/1996,0.0375
10/31/1996,0.1075
11/30/1996,0.0595
12/31/1996,-0.0508
1/31/1997,0.0537
2/28/1997,0.0507
3/31/1997,-0.0064
4/30/1997,-0.0641
5/31/1997,-0.021
6/30/1997,-0.0011
7/31/1997,0.1484
8/31/1997,-0.0775
9/30/1997,0.0311
10/31/1997,-0.0333
11/30/1997,0.0051
12/31/1997,0.0424
1/31/1998,0.0228
2/28/1998,0.0155
3/31/1998,0
4/30/1998,-0.0643
5/31/1998,0.0417
6/30/1998,0.0212
7/31/1998,0.0116
8/31/1998,0.1937
9/30/1998,0.061
10/31/1998,-0.0405
11/30/1998,-0.0375
12/31/1998,0.0161
1/31/1999,-0.0192
2/28/1999,0.037
3/31/1999,-0.0433
4/30/1999,0.0328
5/31/1999,-0.0692
6/30/1999,-0.0002
7/31/1999,-0.0289
8/31/1999,-0.0042
9/30/1999,0.0009
10/31/1999,-0.0601
11/30/1999,0.0213
12/31/1999,0.0425
1/31/2000,-0.0071
2/29/2000,0.002
3/31/2000,-0.0213
4/30/2000,-0.053
5/31/2000,-0.0005
6/30/2000,-0.037
