Date,whalerock--long-short-equity
5/31/2006,-0.042
6/30/2006,-0.003
7/31/2006,0.039
8/31/2006,0.027
9/30/2006,0.023
10/31/2006,0.044
11/30/2006,0.031
12/31/2006,-0.013
1/31/2007,0.039
2/28/2007,0.022
3/31/2007,0.058
4/30/2007,-0.017
5/31/2007,0.036
6/30/2007,0.029
7/31/2007,0.031
8/31/2007,-0.019
9/30/2007,0.063
10/31/2007,0.091
11/30/2007,0.009
12/31/2007,0.001
1/31/2008,-0.135
2/29/2008,-0.036
3/31/2008,-0.011
4/30/2008,0.053
5/31/2008,-0.014
6/30/2008,0.028
7/31/2008,-0.111
8/31/2008,-0.026
9/30/2008,-0.119
10/31/2008,-0.022
11/30/2008,-0.024
12/31/2008,-0.009
1/31/2009,-0.016
2/28/2009,0.001
3/31/2009,-0.02
4/30/2009,0.066
5/31/2009,0.022
6/30/2009,-0.018
7/31/2009,0.047
8/31/2009,-0.001
9/30/2009,0.054
10/31/2009,-0.002
11/30/2009,-0.002
12/31/2009,0.034
1/31/2010,-0.087
2/28/2010,0.008
3/31/2010,0.092
4/30/2010,0.069
5/31/2010,-0.081
6/30/2010,-0.056
7/31/2010,-0.026
8/31/2010,0.033
9/30/2010,0.084
10/31/2010,0.048
11/30/2010,0.035
12/31/2010,0.025
1/31/2011,0.039
2/28/2011,0.06
3/31/2011,0.018
4/30/2011,0.037
5/31/2011,-0.018
6/30/2011,-0.013
7/31/2011,0.021
8/31/2011,-0.098
9/30/2011,-0.052
10/31/2011,0.039
11/30/2011,-0.076
12/31/2011,-0.01
1/31/2012,0.028
2/29/2012,0.081
3/31/2012,0.047
4/30/2012,0.031
5/31/2012,-0.048
6/30/2012,-0.019
7/31/2012,0.006
8/31/2012,0.063
9/30/2012,0.03
10/31/2012,-0.028
11/30/2012,0.012
12/31/2012,0.009
1/31/2013,0.035
2/28/2013,0.018
3/31/2013,0.01
4/30/2013,0.038
5/31/2013,0.027
6/30/2013,0.006
7/31/2013,0.067
8/31/2013,0.033
9/30/2013,0.093
10/31/2013,0.025
11/30/2013,0.056
12/31/2013,0.029
1/31/2014,0.002
2/28/2014,0.04
3/31/2014,-0.074
4/30/2014,-0.039
5/31/2014,0.026
6/30/2014,0.033
7/31/2014,-0.018
8/31/2014,0.048
9/30/2014,-0.064
10/31/2014,0.063
11/30/2014,0.015
12/31/2014,-0.01
1/31/2015,0.026
2/28/2015,-0.013
3/31/2015,0.021
4/30/2015,-0.013
5/31/2015,0.051
6/30/2015,0.003
7/31/2015,-0.009
8/31/2015,-0.035
9/30/2015,-0.017
10/31/2015,0.079
11/30/2015,0.059
12/31/2015,-0.001
1/31/2016,-0.017
2/29/2016,-0.045
3/31/2016,0.047
4/30/2016,-0.02
5/31/2016,0.068
6/30/2016,0.022
7/31/2016,0.026
8/31/2016,0.03
9/30/2016,0.035
10/31/2016,-0.006
11/30/2016,-0.071
12/31/2016,0.007
1/31/2017,0.062
2/28/2017,0.021
3/31/2017,0.042
4/30/2017,0.006
5/31/2017,0.063
6/30/2017,-0.022
7/31/2017,0.04
8/31/2017,0.026
9/30/2017,0.032
10/31/2017,0.044
11/30/2017,0.023
12/31/2017,-0.02
1/31/2018,0.082
2/28/2018,-0.016
3/31/2018,-0.009
4/30/2018,-0.032
5/31/2018,0.0815
6/30/2018,-0.025
7/31/2018,-0.025
8/31/2018,0.081
9/30/2018,0.035
10/31/2018,-0.11
11/30/2018,-0.02
12/31/2018,-0.006
1/31/2019,-0.02
2/28/2019,-0.006
